"Chapter_Number","Volume","Name","Romanized_title","Viz_title","Pages","Date","Episodes"
1,"1","Romance Dawn - The Dawn of the Adventure","Romansu Don - Boken no Yoake","Romance Dawn","53","July 19, 1997","1997 Issue "
2,"1","That Guy, ""Straw Hat Luffy""","Sono Otoko ""Mugiwara no Rufi""","They Call Him ""Straw Hat Luffy""","23","July 28, 1997","1997 Issue "
3,"1","Introducing Pirate Hunter Zoro","""Kaizoku-gari no Zoro"" Tojo","Enter Zolo: Pirate Hunter","21","August 4, 1997","1997 Issue "
4,"1","Marine Captain ""Axe-Hand Morgan""","Kaigun Taisa ""Onote no Mogan""","The Great Captain Morgan","19","August 11, 1997","1997 Issue 37-"
5,"1","Pirate King and Master Swordsman","Kaizoku-O to Daikengo","The King of the Pirates and the Master Swordsman","19","August 25, 1997","1997 Issue "
6,"1","The First","Hitorime","Number One","23","September 1, 1997","1997 Issue "
7,"1","Friends","Tomodachi","Friends","20","September 8, 1997","1997 Issue "
8,"1","Introducing Nami","Nami Tojo","Nami","19","September 15, 1997","1997 Issue "
9,"2","The Devil Girl","Masho no Onna","Femme Fatale","21","September 22, 1997","1997 Issue "
10,"2","Incident at the Tavern","Sakaba no Ikken","Incident at the Tavern","23","September 29, 1997","1997 Issue "
11,"2","Flight","Haiso","Flight","19","October 6, 1997","1997 Issue "
12,"2","Dog","Inu","Dog",NA,"October 13, 1997","1997 Issue "
13,"2","Treasure","Takaramono","Treasure","19","October 20, 1997","1997 Issue "
14,"2","Reckless!!","Mubo!!","Reckless","19","October 27, 1997","1997 Issue "
15,"2","Gong","Gongu","Gong","19","November 3, 1997","1997 Issue "
16,"2","Versus The Buggy Pirate Crew","Basasu!! Bagi Kaizokudan","Versus Buggy's Crew","17","November 10, 1997","1997 Issue "
17,"2","Character","Kaku","High Level, Low Level","20","November 17, 1997","1997 Issue "
18,"3","The Pirate Buggy the Clown","Kaizoku ""Doke no Bagi""","The Pirate Buggy the Clown","19","November 24, 1997","1997 Issue "
19,"3","Devil Fruit","Akuma no Mi","Devil Fruit","19","December 1, 1997","1998 Issue"
20,"3","The Way of the Thief","Dorobodo","The Way of the Thief","19","December 8, 1997","1998 Issue 2"
21,"3","Town","Machi","Townies","19","December 22, 1997","1998 Issue 4"
22,"3","You're the Rare Breed","Anta ga Chinju","Strange Creatures","29","January 5, 1998","1998 Issue"
23,"3","Captain Usopp Appears","Kyaputen Usoppu Tojo","The Dread Captain Usopp","19","January 12, 1998","1998 Issue"
24,"3","Things That Can't Be Faked","Itsuwarenu Mono","The Lie Rejecter","19","January 19, 1998","1998 Issue"
25,"3","800 Lies","Uso 800","Lies","19","January 26, 1998","1998 Issue"
26,"3","Captain Kuro's Plan","Kyaputen Kuro no Ikkei","Captain Kuro's Plan","19","February 2, 1998","1998 Issue "
27,"4","Plan","Suji","True Lies","21","February 9, 1998","1998 Issue "
28,"4","Crescent Moon","Mikazuki","Crescent Moon","19","February 16, 1998","1998 Issue "
29,"4","Hill Road","Sakamichi","Uphill Battle","21","February 23, 1998","1998 Issue "
30,"4","Great!!!","Gureito!!!","Backfire","19","March 2, 1998","1998 Issue "
31,"4","Truth","Shinjitsu","Truth","19","March 9, 1998","1998 Issue "
32,"4","Disaster","Daikyo","Cruel Fortune","19","March 16, 1998","1998 Issue "
